Player,Team ,Year,Pos,Salary,Age,Games Played,Field Goal Percentage,3-Point Field Goal Percentage,Free Throw Percentage,Total Rebounds,Assists,Steals,Blocks,Turnovers,Points
Damian Jones,GSW,2017,C,"$1,312,611",21,10,0.5,0,0.3,23,0,1,4,6,19
Skal Labissiere,SAC,2017,PF,"$1,312,611",20,33,0.537,0.375,0.703,162,27,16,13,37,289
Jake Layman,POR,2017,SF,"$1,312,611",22,35,0.292,0.255,0.765,24,11,9,3,11,78
Patrick McCaw,GSW,2017,SG,"$1,312,611",21,71,0.433,0.333,0.784,101,77,32,15,36,282
Rodney McGruder,MIA,2017,SG,"$1,312,611",25,78,0.413,0.332,0.62,257,124,45,18,56,497
Dejounte Murray,SAS,2017,PG,"$1,312,611",20,38,0.431,0.391,0.7,42,48,8,6,38,130
David Nwaba,LAL,2017,SG,"$1,312,611",24,20,0.58,0.2,0.641,62,14,13,7,11,120
Chinanu Onuaku,HOU,2017,C,"$1,312,611",20,5,0.714,0,1,10,3,3,1,4,14
Chasson Randle,TOT,2017,PG,"$1,312,611",23,26,0.408,0.34,0.953,32,34,9,2,19,137
Wayne Selden,TOT,2017,SG,"$1,312,611",22,14,0.431,0.25,0.636,16,13,6,1,12,71
Pascal Siakam,TOR,2017,PF,"$1,312,611",22,55,0.502,0.143,0.688,185,17,26,45,33,229
Diamond Stone,LAC,2017,C,"$1,312,611",19,7,0.231,0,1,6,0,0,1,2,10
Isaiah Taylor,HOU,2017,PG,"$1,312,611",22,4,0.143,0,0.5,3,3,1,1,0,3
Tyler Ulis,PHO,2017,PG,"$1,312,611",21,61,0.421,0.266,0.775,95,226,48,5,77,444
Fred VanVleet,TOR,2017,PG,"$1,312,611",22,37,0.351,0.379,0.818,42,35,17,2,15,107
Isaiah Whitehead,BRK,2017,PG,"$1,312,611",21,73,0.402,0.295,0.805,184,192,42,36,142,543
Paul Zipser,CHI,2017,SF,"$1,312,611",22,44,0.398,0.333,0.775,125,36,15,16,40,240
Ivica Zubac,LAL,2017,C,"$1,312,611",19,38,0.529,0,0.653,159,30,14,33,30,284
Brice Johnson,LAC,2017,PF,"$1,331,160",22,3,0.286,0,0,3,1,2,1,1,4
Gerald Green,BOS,2017,SF,"$1,381,403",31,47,0.409,0.351,0.805,85,33,9,7,25,262
